数据分类,指标名称,指标代码,单位,频率,数据日期,数值,同比(%),年初至今(%),备注,数据来源
全国大盘,全国酒店OCC,,%,周,2019-05-05T00:00:00Z,67.21,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-05-05T00:00:00Z,255.25,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-05-05T00:00:00Z,171.5535,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-05-12T00:00:00Z,61.14,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-05-12T00:00:00Z,204.12,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-05-12T00:00:00Z,124.799,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-05-19T00:00:00Z,65.57,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-05-19T00:00:00Z,205.6,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-05-19T00:00:00Z,134.8119,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-05-26T00:00:00Z,65.41,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-05-26T00:00:00Z,203.5,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-05-26T00:00:00Z,133.1094,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-06-02T00:00:00Z,59.92,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-06-02T00:00:00Z,200.79,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-06-02T00:00:00Z,120.3134,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-06-09T00:00:00Z,60.94,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-06-09T00:00:00Z,209.99,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-06-09T00:00:00Z,127.9679,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-06-16T00:00:00Z,63.5,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-06-16T00:00:00Z,200.82,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-06-16T00:00:00Z,127.5207,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-06-23T00:00:00Z,65.96,,,,酒店之家(STR)
