period_id,year,week,start_date,end_date,region,room_band,hotel_count,room_count,chain_hotel_count,chain_room_count,source
2024W04,2024,4,2024-01-22,2024-01-28,全国,15-29间,152001,3095939,2994,68014,酒店之家
2024W04,2024,4,2024-01-22,2024-01-28,全国,30-69间,122272,5363979,17113,861657,酒店之家
2024W04,2024,4,2024-01-22,2024-01-28,全国,70-149间,57276,5525245,26152,2579539,酒店之家
2024W04,2024,4,2024-01-22,2024-01-28,全国,150间及以上,14240,3427058,5989,1474930,酒店之家
2024W05,2024,5,2024-01-29,2024-02-04,全国,全部,683149,19184518,53868,5017090,酒店之家
2024W05,2024,5,2024-01-29,2024-02-04,全国,15间以下,336793,1738957,1419,13218,酒店之家
2024W05,2024,5,2024-01-29,2024-02-04,全国,15-29间,152210,3100551,2986,67870,酒店之家
2024W05,2024,5,2024-01-29,2024-02-04,全国,30-69间,122452,5372617,17180,865078,酒店之家
2024W05,2024,5,2024-01-29,2024-02-04,全国,70-149间,57411,5538269,26270,2591324,酒店之家
2024W05,2024,5,2024-01-29,2024-02-04,全国,150间及以上,14283,3434124,6013,1479600,酒店之家
2024W06,2024,6,2024-02-05,2024-02-11,全国,全部,681349,19245881,54204,5046710,酒店之家
2024W06,2024,6,2024-02-05,2024-02-11,全国,15间以下,333948,1745258,1422,13247,酒店之家
2024W06,2024,6,2024-02-05,2024-02-11,全国,15-29间,152601,3108301,2992,67930,酒店之家
2024W06,2024,6,2024-02-05,2024-02-11,全国,30-69间,122819,5390000,17273,870060,酒店之家
2024W06,2024,6,2024-02-05,2024-02-11,全国,70-149间,57681,5564639,26483,2611721,酒店之家
2024W06,2024,6,2024-02-05,2024-02-11,全国,150间及以上,14300,3437683,6034,1483752,酒店之家
2024W07,2024,7,2024-02-12,2024-02-18,全国,全部,678619,19232424,54259,5047295,酒店之家
2022W42,2022,42,2022-10-10,2022-10-16,全国,30-69间,115699,5078712,15221,765884,酒店之家
2022W42,2022,42,2022-10-10,2022-10-16,全国,70-149间,54731,5290606,23198,2287690,酒店之家
2022W42,2022,42,2022-10-10,2022-10-16,全国,150间及以上,14041,3389153,5418,1353132,酒店之家
2022W43,2022,43,2022-10-17,2022-10-23,全国,全部,430909,17381475,47297,4474690,酒店之家
2022W43,2022,43,2022-10-17,2022-10-23,全国,15间以下,118890,1027800,1077,9942,酒店之家
2022W43,2022,43,2022-10-17,2022-10-23,全国,15-29间,127792,2611561,2344,52737,酒店之家
2022W43,2022,43,2022-10-17,2022-10-23,全国,30-69间,115552,5072135,15242,766539,酒店之家
2022W43,2022,43,2022-10-17,2022-10-23,全国,70-149间,54643,5282628,23200,2288569,酒店之家
2022W43,2022,43,2022-10-17,2022-10-23,全国,150间及以上,14032,3387351,5434,1356903,酒店之家
2022W44,2022,44,2022-10-24,2022-10-30,全国,全部,442322,17366199,46956,4451127,酒店之家
2022W44,2022,44,2022-10-24,2022-10-30,全国,15间以下,131006,1055489,1063,9788,酒店之家
2022W44,2022,44,2022-10-24,2022-10-30,全国,15-29间,127654,2607618,2291,51572,酒店之家
2022W44,2022,44,2022-10-24,2022-10-30,全国,30-69间,115205,5057029,15077,758846,酒店之家
2022W44,2022,44,2022-10-24,2022-10-30,全国,70-149间,54445,5263833,23101,2279703,酒店之家
