period_id,year,week,start_date,end_date,region,segment,hotel_count,room_count,hotel_count_15plus,room_count_15plus,occupancy_rate,adr,revpar,source
2017W13,2017,13,2017-03-20,2017-03-26,全国,高档型,,,,,,381.05,,酒店之家
2017W13,2017,13,2017-03-20,2017-03-26,全国,豪华型,,,,,,744.89,,酒店之家
2017W14,2017,14,2017-03-27,2017-04-02,全国,全部,,,,,,239.75,,酒店之家
2017W14,2017,14,2017-03-27,2017-04-02,全国,经济型,,,,,,160.53,,酒店之家
2017W14,2017,14,2017-03-27,2017-04-02,全国,中档型,,,,,,248.13,,酒店之家
2017W14,2017,14,2017-03-27,2017-04-02,全国,高档型,,,,,,380.64,,酒店之家
2017W14,2017,14,2017-03-27,2017-04-02,全国,豪华型,,,,,,756.34,,酒店之家
2017W15,2017,15,2017-04-03,2017-04-09,全国,全部,,,,,,229.21,,酒店之家
2017W15,2017,15,2017-04-03,2017-04-09,全国,经济型,,,,,,154.29,,酒店之家
2017W15,2017,15,2017-04-03,2017-04-09,全国,中档型,,,,,,240.18,,酒店之家
2017W15,2017,15,2017-04-03,2017-04-09,全国,高档型,,,,,,371.29,,酒店之家
2017W15,2017,15,2017-04-03,2017-04-09,全国,豪华型,,,,,,741.22,,酒店之家
2017W16,2017,16,2017-04-10,2017-04-16,全国,全部,,,,,,231.51,,酒店之家
2017W16,2017,16,2017-04-10,2017-04-16,全国,经济型,,,,,,153.89,,酒店之家
2017W16,2017,16,2017-04-10,2017-04-16,全国,中档型,,,,,,244.49,,酒店之家
2017W16,2017,16,2017-04-10,2017-04-16,全国,高档型,,,,,,384.48,,酒店之家
2017W16,2017,16,2017-04-10,2017-04-16,全国,豪华型,,,,,,765.74,,酒店之家
2017W17,2017,17,2017-04-17,2017-04-23,全国,全部,,,,,,231.94,,酒店之家
2017W17,2017,17,2017-04-17,2017-04-23,全国,经济型,,,,,,155.89,,酒店之家
2017W17,2017,17,2017-04-17,2017-04-23,全国,中档型,,,,,,247.07,,酒店之家
2017W17,2017,17,2017-04-17,2017-04-23,全国,高档型,,,,,,388.21,,酒店之家
2017W17,2017,17,2017-04-17,2017-04-23,全国,豪华型,,,,,,776.17,,酒店之家
2017W18,2017,18,2017-04-24,2017-04-30,全国,全部,,,,,,256.75,,酒店之家
2017W18,2017,18,2017-04-24,2017-04-30,全国,经济型,,,,,,176.21,,酒店之家
2017W18,2017,18,2017-04-24,2017-04-30,全国,中档型,,,,,,268.18,,酒店之家
2017W18,2017,18,2017-04-24,2017-04-30,全国,高档型,,,,,,401.59,,酒店之家
2017W18,2017,18,2017-04-24,2017-04-30,全国,豪华型,,,,,,784.77,,酒店之家
2017W19,2017,19,2017-05-01,2017-05-07,全国,全部,,,,,,223.6,,酒店之家
2017W19,2017,19,2017-05-01,2017-05-07,全国,经济型,,,,,,149.71,,酒店之家
2017W19,2017,19,2017-05-01,2017-05-07,全国,中档型,,,,,,236.37,,酒店之家
2017W19,2017,19,2017-05-01,2017-05-07,全国,高档型,,,,,,366.51,,酒店之家
2017W19,2017,19,2017-05-01,2017-05-07,全国,豪华型,,,,,,719.76,,酒店之家
2017W20,2017,20,2017-05-08,2017-05-14,全国,全部,,,,,,228.8,,酒店之家
2017W20,2017,20,2017-05-08,2017-05-14,全国,经济型,,,,,,151.67,,酒店之家
2017W20,2017,20,2017-05-08,2017-05-14,全国,中档型,,,,,,241.28,,酒店之家
2017W20,2017,20,2017-05-08,2017-05-14,全国,高档型,,,,,,377.7,,酒店之家
2017W20,2017,20,2017-05-08,2017-05-14,全国,豪华型,,,,,,737.78,,酒店之家
2017W21,2017,21,2017-05-15,2017-05-21,全国,全部,,,,,,229.85,,酒店之家
2017W21,2017,21,2017-05-15,2017-05-21,全国,经济型,,,,,,154.05,,酒店之家
2017W21,2017,21,2017-05-15,2017-05-21,全国,中档型,,,,,,245.65,,酒店之家
2017W21,2017,21,2017-05-15,2017-05-21,全国,高档型,,,,,,382.67,,酒店之家
2017W21,2017,21,2017-05-15,2017-05-21,全国,豪华型,,,,,,755.01,,酒店之家
2017W22,2017,22,2017-05-22,2017-05-28,全国,全部,,,,,,239.08,,酒店之家
2017W22,2017,22,2017-05-22,2017-05-28,全国,经济型,,,,,,158.19,,酒店之家
2017W22,2017,22,2017-05-22,2017-05-28,全国,中档型,,,,,,250.46,,酒店之家
2017W22,2017,22,2017-05-22,2017-05-28,全国,高档型,,,,,,383.9,,酒店之家
